unix,date,symbol,open,high,low,close,vwap,Volume BTC,Volume USD,tradecount
1608422400,2020-12-20 00:00:00,BTC/USD,23871.5,23871.5,23226.2,23393.4,23505.1,428.46208620,10023184.96731108,2297
1608418800,2020-12-19 23:00:00,BTC/USD,23934.5,23934.7,23746.0,23871.5,23842.1,174.22867835,4159099.895232025,1061
1608415200,2020-12-19 22:00:00,BTC/USD,23992.3,24022.1,23860.4,23934.6,23926.1,254.46820986,6090594.815715156,1287
1608411600,2020-12-19 21:00:00,BTC/USD,23929.5,24096.1,23774.3,23993.1,23930.5,420.41308728,10087013.244417768,1846
1608408000,2020-12-19 20:00:00,BTC/USD,23845.0,23966.2,23831.1,23930.0,23894.9,330.43186041,7907234.4196113,1454
1608404400,2020-12-19 19:00:00,BTC/USD,23850.0,23910.6,23700.0,23845.0,23817.3,256.46796601,6115478.64950845,1314
1608400800,2020-12-19 18:00:00,BTC/USD,23946.3,23946.3,23600.1,23849.9,23774.5,298.02850731,7107950.096492769,1959
1608397200,2020-12-19 17:00:00,BTC/USD,23998.2,24039.9,23741.1,23946.4,23931.5,357.18949534,8553402.531209776,2055
1608393600,2020-12-19 16:00:00,BTC/USD,23587.0,24288.2,23584.4,23998.2,23965.5,1001.89662593,24043715.608393326,4009
1608390000,2020-12-19 15:00:00,BTC/USD,23319.4,23655.0,23305.0,23584.5,23531.3,475.50844481,11214628.916621445,2989
1608386400,2020-12-19 14:00:00,BTC/USD,23200.5,23644.0,23043.3,23319.4,23395.9,812.39994566,18944679.292823803,4676
1608382800,2020-12-19 13:00:00,BTC/USD,23065.5,23213.0,23018.9,23201.8,23104.8,311.94275921,7237633.510638578,1263
1608379200,2020-12-19 12:00:00,BTC/USD,22926.8,23145.9,22926.8,23065.5,23052.4,101.55750643,2342474.664561165,958
1608375600,2020-12-19 11:00:00,BTC/USD,23033.3,23075.5,22919.6,22926.8,22967.9,34.38554251,788350.456018268,515
1608372000,2020-12-19 10:00:00,BTC/USD,23002.1,23086.1,22976.4,23033.3,23027.3,79.34813630,1827649.4278387898,633
1608368400,2020-12-19 09:00:00,BTC/USD,23003.1,23053.2,22953.0,23002.1,23015.6,43.42246509,998807.884246689,549
1608364800,2020-12-19 08:00:00,BTC/USD,22876.7,23014.0,22800.0,23007.9,22904.3,88.15257054,2028205.527727266,867
